Time_Step,Velocity,Viscous_Dissipation_Rate
1,4.7500,0.2500
2,4.5244,0.2256
3,4.3197,0.2047
4,4.1331,0.1866
5,3.9623,0.1708
6,3.8053,0.1570
7,3.6605,0.1448
8,3.5265,0.1340
9,3.4021,0.1244
10,3.2864,0.1157
11,3.1784,0.1080
12,3.0773,0.1010
13,2.9826,0.0947
14,2.8937,0.0890
15,2.8099,0.0837
16,2.7310,0.0790
17,2.6564,0.0746
18,2.5858,0.0706
19,2.5190,0.0669
20,2.4555,0.0635
21,2.3952,0.0603
22,2.3379,0.0574
23,2.2832,0.0547
24,2.2311,0.0521
25,2.1813,0.0498
26,2.1337,0.0476
27,2.0882,0.0455
28,2.0446,0.0436
29,2.0028,0.0418
30,1.9627,0.0401
31,1.9241,0.0385
32,1.8871,0.0370
33,1.8515,0.0356
34,1.8172,0.0343
35,1.7842,0.0330
36,1.7524,0.0318
37,1.7217,0.0307
38,1.6920,0.0296
39,1.6634,0.0286
40,1.6357,0.0277
41,1.6090,0.0268
42,1.5831,0.0259
43,1.5580,0.0251
44,1.5337,0.0243
45,1.5102,0.0235
46,1.4874,0.0228
47,1.4653,0.0221
48,1.4438,0.0215
49,1.4230,0.0208
50,1.4027,0.0202
51,1.3830,0.0197
52,1.3639,0.0191
53,1.3453,0.0186
54,1.3272,0.0181
55,1.3096,0.0176
56,1.2925,0.0172
57,1.2757,0.0167
58,1.2595,0.0163
59,1.2436,0.0159
60,1.2281,0.0155
61,1.2131,0.0151
62,1.1983,0.0147
63,1.1840,0.0144
64,1.1700,0.0140
65,1.1563,0.0137
66,1.1429,0.0134
67,1.1298,0.0131
68,1.1171,0.0128
69,1.1046,0.0125
70,1.0924,0.0122
71,1.0805,0.0119
72,1.0688,0.0117
73,1.0574,0.0114
74,1.0462,0.0112
75,1.0352,0.0109
76,1.0245,0.0107
77,1.0140,0.0105
78,1.0037,0.0103
79,0.9937,0.0101
80,0.9838,0.0099
81,0.9741,0.0097
82,0.9646,0.0095
83,0.9553,0.0093
84,0.9462,0.0091
85,0.9372,0.0090
86,0.9285,0.0088
87,0.9198,0.0086
88,0.9114,0.0085
89,0.9031,0.0083
90,0.8949,0.0082
91,0.8869,0.0080
92,0.8790,0.0079
93,0.8713,0.0077
94,0.8637,0.0076
95,0.8563,0.0075
96,0.8489,0.0073
97,0.8417,0.0072
98,0.8346,0.0071
99,0.8277,0.0070
100,0.8208,0.0069
